_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,does_the_person_have_ticeable_hair_makeup_skin_andor_nail_polish__could_you_imagine_this_image_being_used_to_advertise_cosmetics_or_illustrate_a_beauty_trend,does_the_person_have_ticeable_hair_makeup_skin_andor_nail_polish__could_you_imagine_this_image_being_used_to_advertise_cosmetics_or_illustrate_a_beauty_trend:confidence,does_the_person_have_ticeable_hair_makeup_skin_andor_nail_polish__could_you_imagine_this_image_being_used_to_advertise_cosmetics_or_illustrate_a_beauty_trend:confidence_summary,is_the_persons_clothing_shoes_jewelry_or_fashion_accessories_an_important_part_of_the_image__could_you_imagine_this_image_being_used_to_advertise_a_clothing_line_or_illustrate_a_fashion_trend,is_the_persons_clothing_shoes_jewelry_or_fashion_accessories_an_important_part_of_the_image__could_you_imagine_this_image_being_used_to_advertise_a_clothing_line_or_illustrate_a_fashion_trend:confidence,is_the_persons_clothing_shoes_jewelry_or_fashion_accessories_an_important_part_of_the_image__could_you_imagine_this_image_being_used_to_advertise_a_clothing_line_or_illustrate_a_fashion_trend:confidence_summary,_activity,_activity:confidence,_activity:confidence_summary,_scenario,_scenario:confidence,_scenario:confidence_summary,what_is_the_main_scenario_portrayed_in_the_image,what_is_the_main_scenario_portrayed_in_the_image:confidence,what_is_the_main_scenario_portrayed_in_the_image:confidence_summary,which_activities_are_the_people_involved_in,which_activities_are_the_people_involved_in:confidence,which_activities_are_the_people_involved_in:confidence_summary,which_of_the_following_emotions_are_the_people_expressing,which_of_the_following_emotions_are_the_people_expressing:confidence,which_of_the_following_emotions_are_the_people_expressing:confidence_summary,orig__golden,orig__last_judgment_at,orig__trusted_judgments,orig__unit_id,orig__unit_state,are_the_people_an_important_part_of_the_image,are_the_people_an_important_part_of_the_image_gold,are_the_people_an_important_part_of_the_image_gold_reason,are_the_people_an_important_part_of_the_imageconfidence,are_the_people_interacting_with_each_,are_the_people_interacting_with_each__gold,are_the_people_interacting_with_each__gold_reason,are_the_people_interacting_with_each_confidence,are_there_people_in_the_image,are_there_people_in_the_image_gold,are_there_people_in_the_image_gold_reason,are_there_people_in_the_imageconfidence,are_there_people_in_the_imageconfidence_summary,batch_num,can_you_clearly_see_the_persons__peoples_faces,can_you_clearly_see_the_persons__peoples_faces_gold,can_you_clearly_see_the_persons__peoples_faces_gold_reason,can_you_clearly_see_the_persons__peoples_facesconfidence,can_you_clearly_see_the_persons__peoples_facesconfidence_summary,cant_access,cant_access_gold,cant_access_gold_reason,cant_accessconfidence,code,do_either_of_the_following_labels_apply_to_the_people_in_the_image,do_either_of_the_following_labels_apply_to_the_people_in_the_image_gold,do_either_of_the_following_labels_apply_to_the_people_in_the_image_gold_reason,do_either_of_the_following_labels_apply_to_the_people_in_the_imageconfidence,does_the_person_have_ticeable_hair_makeup_skin_andor_nail_polish__could_you_imagine_this_image_being_used_to_advertise_cosmetics_or_illustrate_a_beauty_trend_gold,how_many_people_are_in_the_image,how_many_people_are_in_the_image_gold,how_many_people_are_in_the_image_gold_reason,how_many_people_are_in_the_imageconfidence,image_url,is_the_persons_clothing_shoes_jewelry_or_fashion_accessories_an_important_part_of_the_image__could_you_imagine_this_image_being_used_to_advertise_a_clothing_line_or_illustrate_a_fashion_trend_gold,nil,orig__golden,orig__last_judgment_at,orig__trusted_judgments,orig__unit_id,orig__unit_state,_activity_gold,_scenario_gold,system_identifier,what_is_the_age_range_of_the_people_in_the_image__choose_all_that_apply,what_is_the_age_range_of_the_people_in_the_image__choose_all_that_apply_gold,what_is_the_age_range_of_the_people_in_the_image__choose_all_that_apply_gold_reason,what_is_the_age_range_of_the_people_in_the_image__choose_all_that_applyconfidence,what_is_the_ethnicity_of_the_people_in_the_image__choose_all_that_apply,what_is_the_ethnicity_of_the_people_in_the_image__choose_all_that_apply_gold,what_is_the_ethnicity_of_the_people_in_the_image__choose_all_that_apply_gold_reason,what_is_the_ethnicity_of_the_people_in_the_image__choose_all_that_applyconfidence,what_is_the_gender_of_the_people_in_the_image,what_is_the_gender_of_the_people_in_the_image_gold,what_is_the_gender_of_the_people_in_the_image_gold_reason,what_is_the_gender_of_the_people_in_the_imageconfidence,what_is_the_main_scenario_portrayed_in_the_image_gold,what_is_the_photo_type_of_the_image__choose_all_that_apply,what_is_the_photo_type_of_the_image__choose_all_that_apply_gold,what_is_the_photo_type_of_the_image__choose_all_that_apply_gold_reason,what_is_the_photo_type_of_the_image__choose_all_that_applyconfidence,what_physical_position_are_the_people_in,what_physical_position_are_the_people_in_gold,what_physical_position_are_the_people_in_gold_reason,what_physical_position_are_the_people_inconfidence,which_activities_are_the_people_involved_in_gold,which_of_the_following_emotions_are_the_people_expressing_gold,Keywords
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/4/1/c/d/TRU1385047.jpg,,,FALSE,3/10/17 22:44,3,1177857246,finalized,,,TRU1385047,Young Adult,,,0.6674,White or Caucasian,,,1,Female,,,1,,Head and shoulders,,,0.6674,,,,0.3508,,,beauty|fashion||||

1191978395,FALSE,finalized,3,3/28/17 20:00,beauty,1,"""beauty"": 1.0
",fashion,1,"""fashion"": 1.0
",,0,,,,,,0.7143,"""fashion"": 0.667
"""": 0.714
",,0.7143,"""talking"": 0.381
"""": 0.714
"""": 0.286
",neutral,0.381,"""neutral"": 0.381
""excitement"": 0.286
""confusion"": 0.333
",FALSE,3/22/17 17:06,3,1178716283,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/2/c/b/0/TRU1385051.jpg,,,FALSE,3/10/17 23:03,3,1177857249,finalized,,,TRU1385051,Young Adult,,,1,White or Caucasian,,,0.668,Female,,,1,,Full body shot,,,0.3438,Standing,,,1,,,beauty|fashion||||Standing

1191978398,FALSE,finalized,3,3/28/17 20:00,beauty,0.381,"""beauty"": 0.381
"""": 0.286
"""": 0.333
",fashion,0.6667,"""fashion"": 0.667
"""": 0.333
",,0,,,,,,0.7143,"""fashion"": 0.667
"""": 0.714
",,0.7143,""""": 0.714
"""": 0.286
",neutral,0.381,"""neutral"": 0.381
""excitement"": 0.286
""fear"": 0.333
",FALSE,3/22/17 17:21,3,1178716286,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/1/3/e/2/TRU1385061.jpg,,,FALSE,3/10/17 23:02,3,1177857252,finalized,,,TRU1385061,Young Adult,,,0.6533,White or Caucasian,,,1,Female,,,1,,Full body shot,,,0.6533,Sitting,,,0.6533,,,beauty|fashion||||Sitting

1191978408,FALSE,finalized,3,3/28/17 19:28,beauty,1,"""beauty"": 1.0
",fashion,0.6957,"""fashion"": 0.696
"""": 0.304
",,,,,,,,0.6522,""""": 0.652
""fashion"": 0.348
",,1,""""": 1.0
",happiness,0.3478,""""": 0.348
""happiness"": 0.348
""neutral"": 0.304
",FALSE,3/22/17 17:22,3,1178716296,finalized,Yes,,,1,,,,1,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,Crowd,,,0.3572,,3 people or more,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/2/f/4/9/TRU1385632.jpg,,,FALSE,3/10/17 22:59,3,1177857262,finalized,,,TRU1385632,Young Adult,,,0.7023,White or Caucasian,,,1,Female,,,1,,Full body shot,,,0.6549,Standing,,,1,,,beauty|fashion||||Standing

1191978410,FALSE,finalized,3,3/28/17 19:29,beauty,1,"""beauty"": 1.0
",fashion,1,"""fashion"": 1.0
",,,,,,,,0.7273,""""": 0.727
""fashion"": 0.273
",,0.7273,""""": 0.727
""relaxing"": 0.273
",neutral,0.6364,""""": 0.364
""neutral"": 0.636
",FALSE,3/22/17 17:14,3,1178716298,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/f/e/b/6/TRU1387081.jpg,,,FALSE,3/10/17 23:00,3,1177857265,finalized,,,TRU1387081,Mid Adult,,,0.6667,White or Caucasian,,,1,Female,,,1,,Half length shot,,,0.6667,Standing,,,1,,,beauty|fashion||||Standing

1191978411,FALSE,finalized,3,3/28/17 20:00,beauty,0.619,""""": 0.381
""beauty"": 0.619
",fashion,0.619,""""": 0.381
""fashion"": 0.619
",,0,,,,,,0.7143,"""fashion"": 0.667
"""": 0.714
",,0.7143,""""": 0.714
"""": 0.286
",happiness,0.619,"""neutral"": 0.381
""happiness"": 0.619
",FALSE,3/22/17 17:20,3,1178716299,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/4/4/d/a/TRU1387082.jpg,,,FALSE,3/10/17 22:56,3,1177857266,finalized,,,TRU1387082,Mid Adult,,,0.6616,White or Caucasian,,,0.6382,Female,,,1,,Half length shot,,,0.7002,Standing,,,1,,,beauty|fashion||||Standing

1191978412,FALSE,finalized,3,3/28/17 19:30,beauty,1,"""beauty"": 1.0
",fashion,1,"""fashion"": 1.0
",,,,,,,,0.6667,""""": 0.667
""fashion"": 0.333
",,1,""""": 1.0
",neutral,0.6667,""""": 0.333
""neutral"": 0.667
",FALSE,3/22/17 17:21,3,1178716300,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/a/4/5/c/TRU1387083.jpg,,,FALSE,3/10/17 23:03,3,1177857267,finalized,,,TRU1387083,Young Adult,,,1,White or Caucasian,,,1,Female,,,1,,Half length shot,,,1,Standing,,,1,,,beauty|fashion||||Standing

1191978413,FALSE,finalized,3,3/28/17 19:29,beauty,1,"""beauty"": 1.0
",fashion,1,"""fashion"": 1.0
",,,,,,,,0.7273,""""": 0.727
""fashion"": 0.273
",,0.7273,""""": 0.727
""relaxing"": 0.273
",neutral,0.6364,""""": 0.364
""neutral"": 0.636
",FALSE,3/22/17 17:14,3,1178716301,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/e/1/e/5/TRU1387084.jpg,,,FALSE,3/10/17 22:44,3,1177857268,finalized,,,TRU1387084,Mid Adult,,,1,White or Caucasian,,,1,Female,,,1,,Half length shot,,,0.6694,Standing,,,1,,,beauty|fashion||||Standing

1191978421,FALSE,finalized,3,3/28/17 19:29,beauty,1,"""beauty"": 1.0
",fashion,0.7273,"""fashion"": 0.727
"""": 0.273
",,,,,,,,0.7273,""""": 0.727
""relaxation"": 0.273
",,0.7273,""""": 0.727
""relaxing"": 0.273
",neutral,0.6364,""""": 0.364
""neutral"": 0.636
",FALSE,3/22/17 17:20,3,1178716309,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/b/4/1/8/TRU1388155.jpg,,,FALSE,3/10/17 22:51,3,1177857276,finalized,,,TRU1388155,Young Adult,,,0.6551,White or Caucasian,,,1,Female,,,1,,Full body shot,,,1,Sitting,,,1,,,beauty|fashion||||Sitting

1191978431,FALSE,finalized,3,3/28/17 19:28,beauty,0.6957,"""beauty"": 0.696
"""": 0.304
",fashion,1,"""fashion"": 1.0
",,,,,,,,0.6522,""""": 0.652
""fashion"": 0.348
",,0.6522,""""": 0.652
""relaxing"": 0.348
",happiness,0.3478,""""": 0.348
""happiness"": 0.348
""neutral"": 0.304
",FALSE,3/22/17 17:11,3,1178716318,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/a/a/f/1/TRU1388282.jpg,,,FALSE,3/10/17 22:51,3,1177857285,finalized,,,TRU1388282,Young Adult,,,0.6564,White or Caucasian,,,0.6564,Female,,,1,,Full body shot,,,1,Standing,,,1,,,beauty|fashion||||Standing

1191978441,FALSE,finalized,3,3/28/17 19:28,beauty,0.6957,"""beauty"": 0.696
"""": 0.304
",fashion,0.6957,"""fashion"": 0.696
"""": 0.304
",,,,,,,,0.6522,""""": 0.652
""fashion"": 0.348
",,0.6522,""""": 0.652
""relaxing"": 0.348
",neutral,0.6522,""""": 0.348
""neutral"": 0.652
",FALSE,3/22/17 16:46,3,1178716330,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/7/a/b/9/TRU1388305.jpg,,,FALSE,3/10/17 22:43,3,1177857297,finalized,,,TRU1388305,Young Adult,,,1,White or Caucasian,,,0.6581,Female,,,1,,Full body shot,,,1,Standing,,,1,,,beauty|fashion||||Standing

1191978449,FALSE,finalized,3,3/28/17 19:30,beauty,1,"""beauty"": 1.0
",fashion,1,"""fashion"": 1.0
",,,,,,,,0.6647,""""": 0.665
""fashion"": 0.335
",,1,""""": 1.0
",surprise,0.3353,""""": 0.329
""neutral"": 0.335
""surprise"": 0.335
",FALSE,3/22/17 17:12,3,1178716338,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/1/1/d/d/TRU1388330.jpg,,,FALSE,3/10/17 22:59,3,1177857305,finalized,,,TRU1388330,Young Adult,,,1,White or Caucasian,,,0.7037,Female,,,1,,Head and shoulders,,,0.3704,,,,0.6296,,,beauty|fashion||||

1191978569,FALSE,finalized,3,3/30/17 15:21,beauty,0.6656,"""beauty"": 0.666
"""": 0.334
",fashion,0.6656,"""fashion"": 0.666
"""": 0.334
",,0,,,,,,1,""""": 1.0
""fashion"": 0.32
""domestic"": 0.32
",,0.3456,""""": 0.346
"""": 0.334
""walking"": 0.32
""dancing"": 0.32
""relaxing"": 0.32
",happiness,1,"""happiness"": 1.0
""excitement"": 0.32
""neutral"": 0.32
",FALSE,3/22/17 17:26,3,1178716358,finalized,Yes,,,1,Yes,,,1,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,2 people,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/7/7/e/7/TRU1388491.jpg,,,FALSE,3/10/17 22:46,3,1177857325,finalized,,,TRU1388491,Young Adult,,,1,White or Caucasian,,,1,Male,,,1,,Full body shot,,,1,Standing,,,0.7064,,,beauty|fashion||||Standing

1191978589,FALSE,finalized,3,3/30/17 15:05,beauty,0.6762,"""beauty"": 0.676
"""": 0.324
",fashion,0.6762,"""fashion"": 0.676
"""": 0.324
",,,,,,,,1,""""": 1.0
",walking,1,"""walking"": 1.0
",confusion,0.6636,"""confusion"": 0.664
""neutral"": 0.336
",FALSE,3/22/17 17:19,3,1178716377,finalized,Yes,,,1,Yes,,,1,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,0.6795,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/6/e/e/1/TRU1388510.jpg,,,FALSE,3/10/17 22:55,3,1177857344,finalized,,,TRU1388510,Young Adult,,,1,White or Caucasian,,,1,Female,,,1,,Full body shot,,,1,Standing,,,1,,,beauty|fashion|||walking|Standing

1191978618,FALSE,finalized,3,3/30/17 15:41,beauty,0.6622,""""": 0.338
""beauty"": 0.662
",fashion,1,"""fashion"": 1.0
",,0,,,,,,0.6757,""""": 0.676
""fashion"": 0.324
",running,0.3378,""""": 0.338
"""": 0.324
""running"": 0.338
",neutral,1,"""neutral"": 1.0
",FALSE,3/22/17 17:28,3,1178716407,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/e/e/f/8/TRU1388539.jpg,,,FALSE,3/10/17 23:05,3,1177857373,finalized,,,TRU1388539,Young Adult,,,0.6506,White or Caucasian,,,1,Female,,,1,,Full body shot,,,1,Walking,,,0.6506,,,beauty|fashion|||running|Walking

1191978621,FALSE,finalized,3,3/30/17 15:37,beauty,1,"""beauty"": 1.0
",fashion,1,"""fashion"": 1.0
",,,,,,,,0.6786,""""": 0.679
""fashion"": 0.321
",laughing,0.6786,"""laughing"": 0.679
""walking"": 0.321
",happiness,0.6429,"""laughter"": 0.357
""happiness"": 0.643
",FALSE,3/22/17 17:01,3,1178716410,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/3/6/8/b/TRU1388542.jpg,,,FALSE,3/10/17 22:45,3,1177857376,finalized,,,TRU1388542,Young Adult,,,1,White or Caucasian,,,1,Female,,,1,,Full body shot,,,0.6786,Standing,,,1,,,beauty|fashion|||laughing|Standing
