_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,does_the_image_focus_on_ingredients_by_themselves_or_prepared_meals_or_dishes,does_the_image_focus_on_ingredients_by_themselves_or_prepared_meals_or_dishes:confidence,what_type_of_food_is_in_the_image,what_type_of_food_is_in_the_image:confidence,which_foodrelated_activities_if_any_are_taking_place_in_the_image,which_foodrelated_activities_if_any_are_taking_place_in_the_image:confidence,orig__golden,orig__last_judgment_at,orig__trusted_judgments,orig__unit_id,orig__unit_state,are_the_people_an_important_part_of_the_image,are_the_people_an_important_part_of_the_image_gold,are_the_people_an_important_part_of_the_image_gold_reason,are_the_people_an_important_part_of_the_imageconfidence,are_the_people_interacting_with_each_,are_the_people_interacting_with_each__gold,are_the_people_interacting_with_each__gold_reason,are_the_people_interacting_with_each_confidence,are_there_people_in_the_image,are_there_people_in_the_image_gold,are_there_people_in_the_image_gold_reason,are_there_people_in_the_imageconfidence,are_there_people_in_the_imageconfidence_summary,batch_num,can_you_clearly_see_the_persons__peoples_faces,can_you_clearly_see_the_persons__peoples_faces_gold,can_you_clearly_see_the_persons__peoples_faces_gold_reason,can_you_clearly_see_the_persons__peoples_facesconfidence,can_you_clearly_see_the_persons__peoples_facesconfidence_summary,cant_access,cant_access_gold,cant_access_gold_reason,cant_accessconfidence,code,do_either_of_the_following_labels_apply_to_the_people_in_the_image,do_either_of_the_following_labels_apply_to_the_people_in_the_image_gold,do_either_of_the_following_labels_apply_to_the_people_in_the_image_gold_reason,do_either_of_the_following_labels_apply_to_the_people_in_the_imageconfidence,does_the_image_focus_on_ingredients_by_themselves_or_prepared_meals_or_dishes_gold,does_the_person_have_noticeable_hair_makeup_skin_andor_nail_polish__could_you_imagine_this_image_being_used_to_advertise_cosmetics_or_illustrate_a_beauty_trend,does_the_person_have_noticeable_hair_makeup_skin_andor_nail_polish__could_you_imagine_this_image_being_used_to_advertise_cosmetics_or_illustrate_a_beauty_trend_gold,does_the_person_have_noticeable_hair_makeup_skin_andor_nail_polish__could_you_imagine_this_image_being_used_to_advertise_cosmetics_or_illustrate_a_beauty_trendconfidence,does_the_person_have_noticeable_hair_makeup_skin_andor_nail_polish__could_you_imagine_this_image_being_used_to_advertise_cosmetics_or_illustrate_a_beauty_trendconfidence_summary,how_many_people_are_in_the_image,how_many_people_are_in_the_image_gold,how_many_people_are_in_the_image_gold_reason,how_many_people_are_in_the_imageconfidence,image_url,is_the_persons_clothing_shoes_jewelry_or_fashion_accessories_an_important_part_of_the_image__could_you_imagine_this_image_being_used_to_advertise_a_clothing_line_or_illustrate_a_fashion_trend,is_the_persons_clothing_shoes_jewelry_or_fashion_accessories_an_important_part_of_the_image__could_you_imagine_this_image_being_used_to_advertise_a_clothing_line_or_illustrate_a_fashion_trend_gold,is_the_persons_clothing_shoes_jewelry_or_fashion_accessories_an_important_part_of_the_image__could_you_imagine_this_image_being_used_to_advertise_a_clothing_line_or_illustrate_a_fashion_trendconfidence,is_the_persons_clothing_shoes_jewelry_or_fashion_accessories_an_important_part_of_the_image__could_you_imagine_this_image_being_used_to_advertise_a_clothing_line_or_illustrate_a_fashion_trendconfidence_summary,nil,orig__golden,orig__last_judgment_at,orig__trusted_judgments,orig__unit_id,orig__unit_state,_activity,_activity_gold,_activityconfidence,_activityconfidence_summary,_scenario,_scenario_gold,_scenarioconfidence,_scenarioconfidence_summary,system_identifier,what_does_the_image_focus_on,what_does_the_image_focus_on_gold,what_does_the_image_focus_onconfidence,what_is_the_age_range_of_the_people_in_the_image__choose_all_that_apply,what_is_the_age_range_of_the_people_in_the_image__choose_all_that_apply_gold,what_is_the_age_range_of_the_people_in_the_image__choose_all_that_apply_gold_reason,what_is_the_age_range_of_the_people_in_the_image__choose_all_that_applyconfidence,what_is_the_ethnicity_of_the_people_in_the_image__choose_all_that_apply,what_is_the_ethnicity_of_the_people_in_the_image__choose_all_that_apply_gold,what_is_the_ethnicity_of_the_people_in_the_image__choose_all_that_apply_gold_reason,what_is_the_ethnicity_of_the_people_in_the_image__choose_all_that_applyconfidence,what_is_the_gender_of_the_people_in_the_image,what_is_the_gender_of_the_people_in_the_image_gold,what_is_the_gender_of_the_people_in_the_image_gold_reason,what_is_the_gender_of_the_people_in_the_imageconfidence,what_is_the_main_scenario_portrayed_in_the_image,what_is_the_main_scenario_portrayed_in_the_image_gold,what_is_the_main_scenario_portrayed_in_the_imageconfidence,what_is_the_main_scenario_portrayed_in_the_imageconfidence_summary,what_is_the_photo_type_of_the_image__choose_all_that_apply,what_is_the_photo_type_of_the_image__choose_all_that_apply_gold,what_is_the_photo_type_of_the_image__choose_all_that_apply_gold_reason,what_is_the_photo_type_of_the_image__choose_all_that_applyconfidence,what_physical_position_are_the_people_in,what_physical_position_are_the_people_in_gold,what_physical_position_are_the_people_in_gold_reason,what_physical_position_are_the_people_inconfidence,what_type_of_food_is_in_the_image_gold,what_types_of_objects_are_in_the_image,what_types_of_objects_are_in_the_image_gold,what_types_of_objects_are_in_the_imageconfidence,which_activities_are_the_people_involved_in,which_activities_are_the_people_involved_in_gold,which_activities_are_the_people_involved_inconfidence,which_activities_are_the_people_involved_inconfidence_summary,which_foodrelated_activities_if_any_are_taking_place_in_the_image_gold,which_of_the_following_emotions_are_the_people_expressing,which_of_the_following_emotions_are_the_people_expressing_gold,which_of_the_following_emotions_are_the_people_expressingconfidence,which_of_the_following_emotions_are_the_people_expressingconfidence_summary,Keywords
1194823967,FALSE,finalized,3,3/30/17 19:26,ingredients,1,"
","0.7123
0.3836",cooking,1,FALSE,3/30/17 15:32,3,1191981656,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,unidentifiable,,,0.3333,"""semi identifiable"": 0.333
""identifiable"": 0.333
""unidentifiable"": 0.333
",,,,1,,,,,,,beauty,,0.6731,"""beauty"": 0.673
""no"": 0.327
",1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/f/a/c/1/TRU1441675.jpg,fashion,,0.6731,"""fashion"": 0.673
""no"": 0.327
",,FALSE,3/10/17 23:03,3,1177859268,finalized,,,,,,,,,TRU1441675,,,,Middle-aged,,,0.7015,White or Caucasian,,,1,Male,,,1,cooking,,1,"""cooking"": 1.0
""fashion"": 0.351
""domestic"": 0.351
",Half length shot,,,1,Standing,,,1,,,,,,,1,""""": 1.0
""walking"": 0.351
""relaxing"": 0.351
",,neutral,,0.6781,""""": 0.322
""neutral"": 0.678
","ingredients|
|cooking|cooking|"
1194823968,FALSE,finalized,3,3/30/17 19:52,dishes,0.6634,,1,cooking,1,FALSE,3/30/17 15:32,3,1191981692,finalized,Yes,,,1,Yes,,,1,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,0.7209,"""identifiable"": 0.721
""unidentifiable"": 0.279
",,,,1,,Group,,,1,,no,,0.6703,"""no"": 0.67
""not_sure"": 0.33
",3 people or more,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/6/b/1/8/TRU1441721.jpg,no,,0.6703,"""no"": 0.67
""not_sure"": 0.33
",,FALSE,3/10/17 22:50,3,1177859312,finalized,,,,,,,,,TRU1441721,,,,Young Adult,,,0.6651,White or Caucasian,,,1,Male,,,1,cooking,,1,"""cooking"": 1.0
""work"": 0.33
",Full body shot,,,0.6651,Standing,,,1,,,,,,,1,""""": 1.0
""relaxing"": 0.33
",,neutral,,1,"""neutral"": 1.0
"""": 0.33
",dishes||cooking|cooking|
1194823969,FALSE,finalized,3,3/30/17 19:26,ingredients,0.693,"vegetables
","1.0
0.3684",cooking,1,FALSE,3/30/17 15:57,3,1191981696,finalized,Yes,,,0.5083,,,,,people,,,1,"""people"": 1.0
",TA20170309,semi identifiable,,,1,"""semi identifiable"": 1.0
",,,,1,,,,,,,no,,1,"""no"": 1.0
",1 person,,,0.6607,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/6/2/7/c/TRU1441729.jpg,no,,1,"""no"": 1.0
",,FALSE,3/10/17 22:58,3,1177859316,finalized,,,0,,,,,,TRU1441729,,,,Middle-aged,,,1,White or Caucasian,,,1,Male,,,1,cooking,,1,"""cooking"": 1.0
",Half length shot,,,1,Leaning,,,0.5083,,,,,eating,,0.3393,""""": 0.339
""relaxing"": 0.321
"""": 0.321
""eating"": 0.339
",,,,1,""""": 1.0
","ingredients|vegetables
|cooking|cooking|"
1194823970,FALSE,finalized,3,3/30/17 19:21,dishes,0.6681,,0.3726,cooking,0.7044,FALSE,3/30/17 15:57,3,1191981697,finalized,Yes,,,1,Yes,,,0.6988,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,Group,,,1,,beauty,,0.6538,"""beauty"": 0.654
""no"": 0.346
",3 people or more,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/0/c/7/0/TRU1441733.jpg,fashion,,0.6538,"""fashion"": 0.654
""no"": 0.346
",,FALSE,3/10/17 22:49,3,1177859318,finalized,,,0,,,,,,TRU1441733,,,,Young Adult,,,1,White or Caucasian,,,1,Male,,,1,cooking,,0.6785,""""": 0.321
""fashion"": 0.332
""cooking"": 0.679
""work"": 0.346
",Half length shot,,,1,Standing,,,1,,,,,eating,,0.3462,""""": 0.321
"""": 0.332
""eating"": 0.346
",,neutral,,1,"""neutral"": 1.0
""confusion"": 0.346
",dishes||cooking|cooking|
1194823971,FALSE,finalized,3,3/30/17 19:25,dishes,0.6458,"
","1.0
0.3542",serving_food,0.6458,FALSE,3/30/17 15:32,3,1191981701,finalized,Yes,,,1,Yes,,,0.6395,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,Group,,,1,,no,,0.6377,"""no"": 0.638
""beauty"": 0.362
",3 people or more,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/9/9/b/d/TRU1441743.jpg,no,,0.6377,"""no"": 0.638
""fashion"": 0.362
",,FALSE,3/10/17 23:03,3,1177859327,finalized,,,,,,,,,TRU1441743,,,,Middle-aged,,,1,White or Caucasian,,,1,Male,,,1,cooking,,0.7056,"""cooking"": 0.706
""social"": 0.343
""relaxation"": 0.362
""work"": 0.294
",Full body shot,,,1,Sitting,,,1,,,,,talking,,0.3623,"""relaxing"": 0.343
""talking"": 0.362
""eating"": 0.362
""walking"": 0.294
",,neutral,,1,"""neutral"": 1.0
","dishes|
|serving_food|cooking|"
1194823972,FALSE,finalized,3,3/30/17 19:22,ingredients,1,carbs,0.6748,cooking,0.6748,FALSE,3/30/17 15:24,3,1191981708,finalized,Yes,,,1,No,,,0.3667,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,beauty,,0.6691,"""beauty"": 0.669
""no"": 0.331
",2 people,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/f/b/4/1/TRU1441768.jpg,fashion,,0.6691,"""fashion"": 0.669
""no"": 0.331
